Transaction ID,Date,Description,Category,Sub-Category,Account,Type,Amount,Counterparty,Notes,Flag
TXN-00264,2025-03-28,Internet & phone - Mar 2025,Operating Expenses,Telecommunications,CIMB,Outflow,382.50,Maxis Business,Partial payment - balance next month,
TXN-00389,2025-03-28,Professional services - server rack upgrade,Operating Expenses,Professional Services,RHB Bank,Outflow,5694.50,Skrine Advocates & Solicitors,Partial payment - balance next month,
TXN-00550,2025-03-28,Professional services - server rack upgrade,Operating Expenses,Professional Services,Maybank,Outflow,8042.00,Lee Hishammuddin Allen & Gledhill,Approved by CFO,
TXN-00657,2025-03-28,Professional services - UPS battery replacement,Operating Expenses,Professional Services,Maybank,Outflow,3200.00,Skrine Advocates & Solicitors,One-off purchase,
TXN-00505,2025-03-29,EPF employer contribution - Mar 2025,Payroll,EPF Contribution,RHB Bank,Outflow,3473.00,Kumpulan Wang Simpanan Pekerja (KWSP),Recurring monthly,
TXN-00603,2025-03-29,SOCSO and EIS contribution - Mar 2025,Payroll,SOCSO & EIS,RHB Bank,Outflow,361.50,PERKESO,,
TXN-00046,2025-03-31,Internet & phone - Mar 2025,Operating Expenses,Telecommunications,Hong Leong Bank,Outflow,476.00,Telekom Malaysia (TM),Partial payment - balance next month,
TXN-00038,2025-04-01,Sales & Service Tax - Apr 2025,Tax,SST Payment,RHB Bank,Outflow,5395.50,Lembaga Hasil Dalam Negeri (LHDN),Approved by CFO,
TXN-00215,2025-04-01,Staff salary - Apr 2025,Payroll,Salary,Maybank,Outflow,18896.50,Payroll - Internal,One-off purchase,
TXN-00429,2025-04-01,Project milestone payment - IT Infrastructure Upgrade,Revenue,Project Payment,Maybank,Inflow,50671.50,Eco World Development Group,Partial payment - balance next month,Large Transaction
TXN-00648,2025-04-01,Electricity & water bill - Apr 2025,Operating Expenses,Utilities,RHB Bank,Outflow,984.50,Syabas Puncak Niaga,Revised amount per credit note,
TXN-00664,2025-04-01,Equipment purchase - AutoCAD licence,CAPEX,Equipment Purchase,Maybank,Outflow,18767.00,Hewlett-Packard Malaysia,Direct debit,
TXN-00014,2025-04-02,Term loan repayment - Apr 2025,Loan Repayment,Bank Loan,CIMB,Outflow,6373.00,Maybank Business Banking,,
TXN-00578,2025-04-03,Project milestone payment - IT Infrastructure Upgrade,Revenue,Project Payment,Hong Leong Bank,Inflow,21354.50,Eco World Development Group,Direct debit,
TXN-00432,2025-04-05,EPF employer contribution - Apr 2025,Payroll,EPF Contribution,Maybank,Outflow,3313.00,Kumpulan Wang Simpanan Pekerja (KWSP),Approved by CFO,
TXN-00180,2025-04-06,Client payment - invoice OR-9482,Revenue,Client Payment,Maybank,Inflow,26018.00,MISC Berhad,Urgent payment,
TXN-00285,2025-04-06,Project milestone payment - ERP Implementation,Revenue,Project Payment,Maybank,Inflow,56932.50,UEM Sunrise Berhad,Approved by CFO,Large Transaction
TXN-00492,2025-04-06,Sales & Service Tax - Apr 2025,Tax,SST Payment,Hong Leong Bank,Outflow,2644.00,Lembaga Hasil Dalam Negeri (LHDN),Partial payment - balance next month,
TXN-00371,2025-04-07,Electricity & water bill - Apr 2025,Operating Expenses,Utilities,Hong Leong Bank,Outflow,917.00,Syabas Puncak Niaga,Recurring monthly,
TXN-00470,2025-04-07,Consulting fee - AutoCAD licence,Revenue,Consulting Fee,Maybank,Inflow,11480.00,KPMG Malaysia,Approved by CFO,
TXN-00510,2025-04-07,EPF employer contribution - Apr 2025,Payroll,EPF Contribution,RHB Bank,Outflow,4133.50,Kumpulan Wang Simpanan Pekerja (KWSP),Approved by CFO,
TXN-00241,2025-04-08,Project milestone payment - IT Infrastructure Upgrade,Revenue,Project Payment,CIMB,Inflow,51761.50,Eco World Development Group,Approved by CFO,Large Transaction
TXN-00525,2025-04-08,Internet & phone - Apr 2025,Operating Expenses,Telecommunications,RHB Bank,Outflow,472.50,TIME dotCom,One-off purchase,
TXN-00534,2025-04-08,EPF employer contribution - Apr 2025,Payroll,EPF Contribution,RHB Bank,Outflow,3946.00,Kumpulan Wang Simpanan Pekerja (KWSP),One-off purchase,
TXN-00436,2025-04-09,Income tax instalment CP500 - Apr 2025,Tax,Income Tax Instalment,Maybank,Outflow,6889.50,Lembaga Hasil Dalam Negeri (LHDN),Approved by CFO,
TXN-00661,2025-04-09,SOCSO and EIS contribution - Apr 2025,Payroll,SOCSO & EIS,CIMB,Outflow,494.00,PERKESO,Approved by CFO,
TXN-00143,2025-04-10,EPF employer contribution - Apr 2025,Payroll,EPF Contribution,CIMB,Outflow,2939.00,Kumpulan Wang Simpanan Pekerja (KWSP),Urgent payment,
TXN-00662,2025-04-10,Project milestone payment - Website Redevelopment,Revenue,Project Payment,RHB Bank,Inflow,39149.50,Malaysian Resources Corporation Berhad,,
TXN-00422,2025-04-13,Electricity & water bill - Apr 2025,Operating Expenses,Utilities,CIMB,Outflow,728.50,Tenaga Nasional Berhad (TNB),Revised amount per credit note,
TXN-00642,2025-04-13,Staff salary - Apr 2025,Payroll,Salary,CIMB,Outflow,25360.00,Payroll - Internal,Partial payment - balance next month,
TXN-00487,2025-04-14,Project milestone payment - IT Infrastructure Upgrade,Revenue,Project Payment,Maybank,Inflow,95181.50,Sunway Group,Direct debit,Large Transaction
TXN-00575,2025-04-14,Income tax instalment CP500 - Apr 2025,Tax,Income Tax Instalment,Maybank,Outflow,3654.00,Lembaga Hasil Dalam Negeri (LHDN),Direct debit,
TXN-00655,2025-04-14,Project milestone payment - Website Redevelopment,Revenue,Project Payment,Hong Leong Bank,Inflow,34989.00,Malaysian Resources Corporation Berhad,One-off purchase,
TXN-00312,2025-04-15,Client payment - invoice SO-9788,Revenue,Client Payment,Maybank,Inflow,27883.00,Gamuda Berhad,Partial payment - balance next month,
TXN-00291,2025-04-16,Materials purchase - PO INV-6747,Cost of Goods,Materials & Supplies,Hong Leong Bank,Outflow,35514.00,CSC Steel Holdings Berhad,Urgent payment,
TXN-00615,2025-04-16,Staff salary - Apr 2025,Payroll,Salary,RHB Bank,Outflow,27444.00,Payroll - Internal,Revised amount per credit note,
TXN-00400,2025-04-17,EPF employer contribution - Apr 2025,Payroll,EPF Contribution,Maybank,Outflow,4361.50,Kumpulan Wang Simpanan Pekerja (KWSP),One-off purchase,
TXN-00678,2025-04-17,EPF employer contribution - Apr 2025,Payroll,EPF Contribution,Hong Leong Bank,Outflow,4300.00,Kumpulan Wang Simpanan Pekerja (KWSP),,
TXN-00700,2025-04-17,Client payment - invoice PO-8776,Revenue,Client Payment,RHB Bank,Inflow,17217.00,Telekom Malaysia Berhad,Partial payment - balance next month,
TXN-00585,2025-04-18,Project milestone payment - ERP Implementation,Revenue,Project Payment,Maybank,Inflow,56874.50,Eco World Development Group,One-off purchase,Large Transaction
TXN-00069,2025-04-19,Client payment - invoice PO-5232,Revenue,Client Payment,Hong Leong Bank,Inflow,38178.00,Gamuda Berhad,Recurring monthly,
TXN-00119,2025-04-19,Client payment - invoice INV-1828,Revenue,Client Payment,CIMB,Inflow,15760.00,Sime Darby Property Berhad,Recurring monthly,
TXN-00181,2025-04-20,Internet & phone - Apr 2025,Operating Expenses,Telecommunications,Maybank,Outflow,528.50,Telekom Malaysia (TM),Direct debit,
TXN-00211,2025-04-20,Office supplies purchase,Operating Expenses,Office Supplies,CIMB,Outflow,394.50,Jaya Grocer,One-off purchase,
TXN-00336,2025-04-20,Client payment - invoice SO-5505,Revenue,Client Payment,Maybank,Inflow,41020.00,Sime Darby Property Berhad,One-off purchase,
TXN-00437,2025-04-20,Electricity & water bill - Apr 2025,Operating Expenses,Utilities,Maybank,Outflow,863.50,Syabas Puncak Niaga,,
TXN-00120,2025-04-21,Project milestone payment - IT Infrastructure Upgrade,Revenue,Project Payment,Maybank,Inflow,45283.50,Eco World Development Group,,
TXN-00002,2025-04-22,Client payment - invoice SO-9279,Revenue,Client Payment,CIMB,Inflow,46561.00,MISC Berhad,Recurring monthly,
TXN-00515,2025-04-22,Client payment - invoice PO-7885,Revenue,Client Payment,Hong Leong Bank,Inflow,34046.50,Axiata Group Berhad,,
TXN-00520,2025-04-22,Sales & Service Tax - Apr 2025,Tax,SST Payment,Maybank,Outflow,2568.50,Lembaga Hasil Dalam Negeri (LHDN),Urgent payment,
TXN-00287,2025-04-23,SOCSO and EIS contribution - Apr 2025,Payroll,SOCSO & EIS,CIMB,Outflow,604.00,PERKESO,One-off purchase,
TXN-00222,2025-04-24,Monthly retainer - Apr 2025,Revenue,Retainer Fee,Hong Leong Bank,Inflow,6245.00,Hong Leong Financial Group,Recurring monthly,
TXN-00244,2025-04-24,SOCSO and EIS contribution - Apr 2025,Payroll,SOCSO & EIS,Hong Leong Bank,Outflow,407.00,PERKESO,Revised amount per credit note,
TXN-00333,2025-04-24,Subcontractor payment - Warehouse Expansion,Cost of Goods,Subcontractor,Maybank,Outflow,31883.00,Protasco Berhad,Urgent payment,
TXN-00539,2025-04-24,Client payment - invoice SO-6159,Revenue,Client Payment,CIMB,Inflow,17614.00,Hartalega Holdings Berhad,Direct debit,
TXN-00411,2025-04-25,Client payment - invoice OR-7607,Revenue,Client Payment,RHB Bank,Inflow,52026.00,Axiata Group Berhad,Direct debit,Large Transaction
TXN-00414,2025-04-25,Subcontractor payment - ERP Implementation,Cost of Goods,Subcontractor,RHB Bank,Outflow,36841.50,Protasco Berhad,Revised amount per credit note,
TXN-00006,2025-04-27,Client payment - invoice PO-2307,Revenue,Client Payment,RHB Bank,Inflow,26658.50,Telekom Malaysia Berhad,Revised amount per credit note,
TXN-00040,2025-04-27,Monthly retainer - Apr 2025,Revenue,Retainer Fee,Hong Leong Bank,Inflow,5602.00,Hong Leong Financial Group,,
TXN-00370,2025-04-27,Term loan repayment - Apr 2025,Loan Repayment,Bank Loan,Hong Leong Bank,Outflow,8296.50,CIMB Business Loan,One-off purchase,
TXN-00465,2025-04-28,SOCSO and EIS contribution - Apr 2025,Payroll,SOCSO & EIS,CIMB,Outflow,511.00,PERKESO,Recurring monthly,
TXN-00484,2025-04-28,Internet & phone - Apr 2025,Operating Expenses,Telecommunications,Maybank,Outflow,625.50,TIME dotCom,Urgent payment,
TXN-00073,2025-04-29,Monthly retainer - Apr 2025,Revenue,Retainer Fee,CIMB,Inflow,5157.50,Alliance Bank Malaysia,Direct debit,
TXN-00686,2025-04-29,Sales & Service Tax - Apr 2025,Tax,SST Payment,RHB Bank,Outflow,4265.50,Lembaga Hasil Dalam Negeri (LHDN),Recurring monthly,
TXN-00728,2025-04-29,Staff salary - Apr 2025,Payroll,Salary,Maybank,Outflow,24924.00,Payroll - Internal,,
TXN-00082,2025-04-30,Client payment - invoice PO-4241,Revenue,Client Payment,CIMB,Inflow,42751.50,MISC Berhad,Urgent payment,
TXN-00113,2025-04-30,Client payment - invoice OR-1410,Revenue,Client Payment,Hong Leong Bank,Inflow,61733.00,MISC Berhad,Approved by CFO,Large Transaction
TXN-00162,2025-05-01,Staff salary - May 2025,Payroll,Salary,Hong Leong Bank,Outflow,31259.00,Payroll - Internal,Revised amount per credit note,
TXN-00362,2025-05-01,SOCSO and EIS contribution - May 2025,Payroll,SOCSO & EIS,CIMB,Outflow,395.00,PERKESO,Direct debit,
TXN-00666,2025-05-02,Project milestone payment - Warehouse Expansion,Revenue,Project Payment,Maybank,Inflow,56104.50,IJM Corporation Berhad,Direct debit,Large Transaction
TXN-00062,2025-05-03,Office rental - May 2025,Operating Expenses,Office Rent,CIMB,Outflow,5858.00,CapitaLand Malaysia Mall Trust,Urgent payment,
TXN-00313,2025-05-03,Office supplies purchase,Operating Expenses,Office Supplies,Maybank,Outflow,665.00,Harvey Norman Malaysia,One-off purchase,
TXN-00016,2025-05-04,Project milestone payment - Website Redevelopment,Revenue,Project Payment,CIMB,Inflow,35607.00,Sunway Group,Direct debit,
TXN-00251,2025-05-04,EPF employer contribution - May 2025,Payroll,EPF Contribution,Hong Leong Bank,Outflow,4053.00,Kumpulan Wang Simpanan Pekerja (KWSP),,
TXN-00021,2025-05-05,SOCSO and EIS contribution - May 2025,Payroll,SOCSO & EIS,RHB Bank,Outflow,464.00,PERKESO,Partial payment - balance next month,
TXN-00050,2025-05-05,Staff salary - May 2025,Payroll,Salary,CIMB,Outflow,21905.00,Payroll - Internal,Recurring monthly,
TXN-00031,2025-05-06,Sales & Service Tax - May 2025,Tax,SST Payment,Maybank,Outflow,4625.00,Lembaga Hasil Dalam Negeri (LHDN),Recurring monthly,
TXN-00049,2025-05-06,Client payment - invoice OR-2193,Revenue,Client Payment,CIMB,Inflow,46698.00,Gamuda Berhad,Partial payment - balance next month,
TXN-00323,2025-05-06,Professional services - laptop units (x5),Operating Expenses,Professional Services,Hong Leong Bank,Outflow,5709.00,Messrs Ranjit Singh & Yeoh,,
TXN-00194,2025-05-07,Project milestone payment - Office Renovation Phase 1,Revenue,Project Payment,RHB Bank,Inflow,43656.00,Malaysian Resources Corporation Berhad,,
TXN-00373,2025-05-08,Subcontractor payment - Office Renovation Phase 1,Cost of Goods,Subcontractor,CIMB,Outflow,22908.00,Mudajaya Group Berhad,Direct debit,
TXN-00428,2025-05-09,Client payment - invoice SO-8259,Revenue,Client Payment,CIMB,Inflow,50311.00,Maxis Berhad,Approved by CFO,Large Transaction
TXN-00315,2025-05-13,EPF employer contribution - May 2025,Payroll,EPF Contribution,Maybank,Outflow,4000.00,Kumpulan Wang Simpanan Pekerja (KWSP),,
TXN-00384,2025-05-13,Client payment - invoice SO-6499,Revenue,Client Payment,Hong Leong Bank,Inflow,24413.00,IHH Healthcare Berhad,Urgent payment,
TXN-00439,2025-05-13,Materials purchase - PO OR-7357,Cost of Goods,Materials & Supplies,RHB Bank,Outflow,14405.50,Cahya Mata Sarawak Berhad,Partial payment - balance next month,
TXN-00042,2025-05-16,Client payment - invoice INV-2776,Revenue,Client Payment,Hong Leong Bank,Inflow,32891.50,Maxis Berhad,Recurring monthly,
TXN-00080,2025-05-16,Office rental - May 2025,Operating Expenses,Office Rent,Maybank,Outflow,5258.50,CapitaLand Malaysia Mall Trust,Partial payment - balance next month,
TXN-00204,2025-05-16,Office rental - May 2025,Operating Expenses,Office Rent,RHB Bank,Outflow,5237.00,IGB Real Estate Investment Trust,Approved by CFO,
TXN-00367,2025-05-16,Sales & Service Tax - May 2025,Tax,SST Payment,Maybank,Outflow,2591.00,Lembaga Hasil Dalam Negeri (LHDN),Partial payment - balance next month,
TXN-00430,2025-05-16,Project milestone payment - ERP Implementation,Revenue,Project Payment,Maybank,Inflow,48122.50,UEM Sunrise Berhad,,
TXN-00220,2025-05-17,Staff salary - May 2025,Payroll,Salary,Hong Leong Bank,Outflow,26630.00,Payroll - Internal,Approved by CFO,
TXN-00292,2025-05-17,Project milestone payment - Warehouse Expansion,Revenue,Project Payment,Hong Leong Bank,Inflow,87968.00,Sunway Group,,Large Transaction
TXN-00533,2025-05-17,Materials purchase - PO INV-2153,Cost of Goods,Materials & Supplies,Maybank,Outflow,9447.50,CSC Steel Holdings Berhad,Approved by CFO,
TXN-00681,2025-05-17,Monthly retainer - May 2025,Revenue,Retainer Fee,Hong Leong Bank,Inflow,6428.00,Public Bank Berhad,Recurring monthly,
TXN-00486,2025-05-18,Income tax instalment CP500 - May 2025,Tax,Income Tax Instalment,CIMB,Outflow,7696.50,Lembaga Hasil Dalam Negeri (LHDN),Urgent payment,
TXN-00067,2025-05-19,Term loan repayment - May 2025,Loan Repayment,Bank Loan,Hong Leong Bank,Outflow,9261.50,CIMB Business Loan,,
TXN-00398,2025-05-19,Electricity & water bill - May 2025,Operating Expenses,Utilities,Hong Leong Bank,Outflow,548.00,Tenaga Nasional Berhad (TNB),,
TXN-00328,2025-05-20,Monthly retainer - May 2025,Revenue,Retainer Fee,Maybank,Inflow,4943.50,Alliance Bank Malaysia,,
TXN-00405,2025-05-20,Term loan repayment - May 2025,Loan Repayment,Bank Loan,Maybank,Outflow,5195.00,Maybank Business Banking,,
TXN-00701,2025-05-20,Electricity & water bill - May 2025,Operating Expenses,Utilities,CIMB,Outflow,589.00,Tenaga Nasional Berhad (TNB),Partial payment - balance next month,
TXN-00053,2025-05-22,Subcontractor payment - Digital Transformation Initiative,Cost of Goods,Subcontractor,Hong Leong Bank,Outflow,21792.00,WCT Holdings Berhad,Revised amount per credit note,
TXN-00365,2025-05-22,EPF employer contribution - May 2025,Payroll,EPF Contribution,Maybank,Outflow,3399.50,Kumpulan Wang Simpanan Pekerja (KWSP),,
TXN-00479,2025-05-22,Client payment - invoice OR-6785,Revenue,Client Payment,CIMB,Inflow,36424.00,YTL Corporation Berhad,,
TXN-00684,2025-05-22,Client payment - invoice INV-3424,Revenue,Client Payment,Maybank,Inflow,27242.50,IHH Healthcare Berhad,Recurring monthly,
TXN-00704,2025-05-22,Client payment - invoice OR-2093,Revenue,Client Payment,RHB Bank,Inflow,38641.00,Maxis Berhad,Urgent payment,
TXN-00041,2025-05-23,Term loan repayment - May 2025,Loan Repayment,Bank Loan,Maybank,Outflow,5081.00,CIMB Business Loan,Urgent payment,
TXN-00208,2025-05-23,Term loan repayment - May 2025,Loan Repayment,Bank Loan,CIMB,Outflow,8042.00,CIMB Business Loan,Direct debit,
TXN-00749,2025-05-23,Client payment - invoice SO-1691,Revenue,Client Payment,Maybank,Inflow,56486.50,Petronas Dagangan Sdn Bhd,,Large Transaction
TXN-00255,2025-05-24,Internet & phone - May 2025,Operating Expenses,Telecommunications,CIMB,Outflow,650.00,Telekom Malaysia (TM),Partial payment - balance next month,
TXN-00340,2025-05-24,Income tax instalment CP500 - May 2025,Tax,Income Tax Instalment,CIMB,Outflow,3733.00,Lembaga Hasil Dalam Negeri (LHDN),Approved by CFO,
TXN-00624,2025-05-24,Vehicle hire purchase - May 2025,Loan Repayment,Hire Purchase,CIMB,Outflow,1467.00,Maybank Hire Purchase,,
TXN-00242,2025-05-25,EPF employer contribution - May 2025,Payroll,EPF Contribution,Hong Leong Bank,Outflow,3200.50,Kumpulan Wang Simpanan Pekerja (KWSP),Recurring monthly,
TXN-00048,2025-05-26,Electricity & water bill - May 2025,Operating Expenses,Utilities,CIMB,Outflow,905.50,Syabas Puncak Niaga,,
TXN-00297,2025-05-26,Project milestone payment - ERP Implementation,Revenue,Project Payment,RHB Bank,Inflow,79580.00,Eco World Development Group,,Large Transaction
TXN-00722,2025-05-26,Client payment - invoice OR-6111,Revenue,Client Payment,CIMB,Inflow,38090.00,Axiata Group Berhad,Urgent payment,
TXN-00147,2025-05-27,Monthly retainer - May 2025,Revenue,Retainer Fee,RHB Bank,Inflow,6480.50,Alliance Bank Malaysia,Recurring monthly,
TXN-00689,2025-05-27,Internet & phone - May 2025,Operating Expenses,Telecommunications,CIMB,Outflow,432.00,TIME dotCom,,
TXN-00552,2025-05-28,Sales & Service Tax - May 2025,Tax,SST Payment,Hong Leong Bank,Outflow,3657.00,Lembaga Hasil Dalam Negeri (LHDN),,
TXN-00688,2025-05-28,Staff salary - May 2025,Payroll,Salary,CIMB,Outflow,26216.50,Payroll - Internal,,
TXN-00699,2025-05-28,Materials purchase - PO SO-7944,Cost of Goods,Materials & Supplies,CIMB,Outflow,27445.00,Cahya Mata Sarawak Berhad,One-off purchase,
TXN-00588,2025-05-29,Project milestone payment - Office Renovation Phase 1,Revenue,Project Payment,Maybank,Inflow,74988.00,Malaysian Resources Corporation Berhad,Approved by CFO,Large Transaction
TXN-00693,2025-05-29,Staff salary - May 2025,Payroll,Salary,RHB Bank,Outflow,30506.00,Payroll - Internal,,
TXN-00268,2025-05-30,Term loan repayment - May 2025,Loan Repayment,Bank Loan,RHB Bank,Outflow,6333.00,CIMB Business Loan,One-off purchase,
TXN-00155,2025-06-01,Client payment - invoice INV-9317,Revenue,Client Payment,Maybank,Inflow,43515.00,MISC Berhad,One-off purchase,
TXN-00175,2025-06-01,Monthly retainer - Jun 2025,Revenue,Retainer Fee,CIMB,Inflow,7806.00,Hong Leong Financial Group,Revised amount per credit note,
TXN-00275,2025-06-01,Staff salary - Jun 2025,Payroll,Salary,Hong Leong Bank,Outflow,23201.50,Payroll - Internal,Direct debit,
TXN-00337,2025-06-01,Project milestone payment - ERP Implementation,Revenue,Project Payment,Maybank,Inflow,45419.50,Sunway Group,,
TXN-00402,2025-06-01,Vehicle hire purchase - Jun 2025,Loan Repayment,Hire Purchase,Maybank,Outflow,1953.50,Maybank Hire Purchase,Revised amount per credit note,
TXN-00750,2025-06-02,Monthly retainer - Jun 2025,Revenue,Retainer Fee,RHB Bank,Inflow,10205.00,Kenanga Investment Bank,,
TXN-00045,2025-06-03,Office supplies purchase,Operating Expenses,Office Supplies,CIMB,Outflow,474.00,Jaya Grocer,Partial payment - balance next month,
TXN-00105,2025-06-03,Vehicle hire purchase - Jun 2025,Loan Repayment,Hire Purchase,CIMB,Outflow,2464.50,RHB Hire Purchase,Direct debit,
TXN-00256,2025-06-03,Equipment purchase - ISO 9001 gap assessment,CAPEX,Equipment Purchase,Hong Leong Bank,Outflow,9895.00,Brother International Malaysia,,
TXN-00265,2025-06-03,Project milestone payment - Digital Transformation Initiative,Revenue,Project Payment,RHB Bank,Inflow,64010.50,IJM Corporation Berhad,Approved by CFO,Large Transaction
TXN-00703,2025-06-03,Client payment - invoice OR-3034,Revenue,Client Payment,RHB Bank,Inflow,22398.00,Hartalega Holdings Berhad,Approved by CFO,
TXN-00740,2025-06-03,Client payment - invoice PO-8143,Revenue,Client Payment,CIMB,Inflow,27020.50,Telekom Malaysia Berhad,,
TXN-00191,2025-06-04,Project milestone payment - Website Redevelopment,Revenue,Project Payment,RHB Bank,Inflow,30535.50,UEM Sunrise Berhad,,
TXN-00633,2025-06-04,Consulting fee - Adobe Creative Cloud,Revenue,Consulting Fee,RHB Bank,Inflow,9859.50,PwC Malaysia,Recurring monthly,
TXN-00565,2025-06-05,Term loan repayment - Jun 2025,Loan Repayment,Bank Loan,Maybank,Outflow,5188.50,Maybank Business Banking,,
TXN-00378,2025-06-06,Materials purchase - PO PO-7943,Cost of Goods,Materials & Supplies,RHB Bank,Outflow,13173.50,Ann Joo Resources Berhad,Direct debit,
TXN-00261,2025-06-07,Client payment - invoice OR-6896,Revenue,Client Payment,Maybank,Inflow,22782.50,Sime Darby Property Berhad,Direct debit,
TXN-00473,2025-06-07,Staff salary - Jun 2025,Payroll,Salary,CIMB,Outflow,24419.00,Payroll - Internal,,
TXN-00321,2025-06-09,Sales & Service Tax - Jun 2025,Tax,SST Payment,Hong Leong Bank,Outflow,2717.50,Lembaga Hasil Dalam Negeri (LHDN),One-off purchase,
TXN-00712,2025-06-09,Staff salary - Jun 2025,Payroll,Salary,CIMB,Outflow,27339.00,Payroll - Internal,,
TXN-00029,2025-06-10,Electricity & water bill - Jun 2025,Operating Expenses,Utilities,RHB Bank,Outflow,646.50,Syabas Puncak Niaga,,
TXN-00207,2025-06-10,EPF employer contribution - Jun 2025,Payroll,EPF Contribution,Hong Leong Bank,Outflow,3694.00,Kumpulan Wang Simpanan Pekerja (KWSP),Approved by CFO,
TXN-00329,2025-06-10,Staff salary - Jun 2025,Payroll,Salary,RHB Bank,Outflow,23171.00,Payroll - Internal,Urgent payment,
TXN-00403,2025-06-10,Materials purchase - PO OR-2898,Cost of Goods,Materials & Supplies,Maybank,Outflow,28091.00,Nippon Paint Malaysia,,
TXN-00471,2025-06-11,Internet & phone - Jun 2025,Operating Expenses,Telecommunications,Hong Leong Bank,Outflow,468.00,Maxis Business,Recurring monthly,
TXN-00447,2025-06-12,Income tax instalment CP500 - Jun 2025,Tax,Income Tax Instalment,CIMB,Outflow,6485.50,Lembaga Hasil Dalam Negeri (LHDN),Revised amount per credit note,
TXN-00618,2025-06-12,Consulting fee - Adobe Creative Cloud,Revenue,Consulting Fee,CIMB,Inflow,16390.00,Crowe Malaysia,Direct debit,
TXN-00690,2025-06-12,Client payment - invoice SO-8223,Revenue,Client Payment,CIMB,Inflow,38494.50,Sime Darby Property Berhad,,
TXN-00353,2025-06-13,Project milestone payment - Office Renovation Phase 1,Revenue,Project Payment,RHB Bank,Inflow,38069.50,IJM Corporation Berhad,,
TXN-00096,2025-06-14,Consulting fee - Adobe Creative Cloud,Revenue,Consulting Fee,RHB Bank,Inflow,5204.00,Deloitte Malaysia,Direct debit,
TXN-00529,2025-06-14,Consulting fee - digital strategy review,Revenue,Consulting Fee,Maybank,Inflow,20489.50,KPMG Malaysia,,
TXN-00656,2025-06-14,EPF employer contribution - Jun 2025,Payroll,EPF Contribution,Maybank,Outflow,2976.00,Kumpulan Wang Simpanan Pekerja (KWSP),,
TXN-00085,2025-06-15,Income tax instalment CP500 - Jun 2025,Tax,Income Tax Instalment,Hong Leong Bank,Outflow,6553.50,Lembaga Hasil Dalam Negeri (LHDN),,
TXN-00431,2025-06-15,Client payment - invoice INV-5934,Revenue,Client Payment,Hong Leong Bank,Inflow,16090.00,Gamuda Berhad,Revised amount per credit note,
TXN-00456,2025-06-15,Term loan repayment - Jun 2025,Loan Repayment,Bank Loan,Hong Leong Bank,Outflow,7383.50,CIMB Business Loan,One-off purchase,
TXN-00537,2025-06-15,Subcontractor payment - IT Infrastructure Upgrade,Cost of Goods,Subcontractor,Hong Leong Bank,Outflow,25195.00,Protasco Berhad,Direct debit,
TXN-00281,2025-06-16,Client payment - invoice SO-8496,Revenue,Client Payment,Hong Leong Bank,Inflow,40163.50,Axiata Group Berhad,One-off purchase,
TXN-00665,2025-06-16,Office rental - Jun 2025,Operating Expenses,Office Rent,CIMB,Outflow,6623.50,Pavilion REIT,Revised amount per credit note,
TXN-00645,2025-06-18,Client payment - invoice OR-1060,Revenue,Client Payment,RHB Bank,Inflow,32877.50,Axiata Group Berhad,,
TXN-00055,2025-06-19,Consulting fee - UPS battery replacement,Revenue,Consulting Fee,RHB Bank,Inflow,22773.50,PwC Malaysia,One-off purchase,
TXN-00254,2025-06-19,Electricity & water bill - Jun 2025,Operating Expenses,Utilities,RHB Bank,Outflow,628.00,Tenaga Nasional Berhad (TNB),,
TXN-00385,2025-06-19,Staff salary - Jun 2025,Payroll,Salary,Maybank,Outflow,24650.50,Payroll - Internal,One-off purchase,
TXN-00433,2025-06-19,Electricity & water bill - Jun 2025,Operating Expenses,Utilities,Maybank,Outflow,548.50,Syabas Puncak Niaga,Revised amount per credit note,
TXN-00438,2025-06-19,Client payment - invoice INV-2433,Revenue,Client Payment,Hong Leong Bank,Inflow,38286.00,Sime Darby Property Berhad,One-off purchase,
TXN-00449,2025-06-19,Client payment - invoice OR-8583,Revenue,Client Payment,RHB Bank,Inflow,37984.50,Hartalega Holdings Berhad,,
TXN-00626,2025-06-19,SOCSO and EIS contribution - Jun 2025,Payroll,SOCSO & EIS,Maybank,Outflow,569.00,PERKESO,One-off purchase,
TXN-00087,2025-06-20,Monthly retainer - Jun 2025,Revenue,Retainer Fee,RHB Bank,Inflow,5646.50,Hong Leong Financial Group,Partial payment - balance next month,
TXN-00152,2025-06-20,Sales & Service Tax - Jun 2025,Tax,SST Payment,CIMB,Outflow,4273.00,Lembaga Hasil Dalam Negeri (LHDN),,
TXN-00169,2025-06-20,Professional services - AutoCAD licence,Operating Expenses,Professional Services,CIMB,Outflow,7071.00,Lee Hishammuddin Allen & Gledhill,Direct debit,
TXN-00216,2025-06-21,Office rental - Jun 2025,Operating Expenses,Office Rent,RHB Bank,Outflow,7025.50,CapitaLand Malaysia Mall Trust,,
TXN-00680,2025-06-21,Client payment - invoice SO-9841,Revenue,Client Payment,CIMB,Inflow,48825.00,Axiata Group Berhad,Approved by CFO,
TXN-00004,2025-06-22,Term loan repayment - Jun 2025,Loan Repayment,Bank Loan,Hong Leong Bank,Outflow,7523.00,CIMB Business Loan,,
TXN-00218,2025-06-22,Client payment - invoice PO-4164,Revenue,Client Payment,RHB Bank,Inflow,36312.50,YTL Corporation Berhad,,
